,player_name,position,age,birth_country,nationality,height_cms,weight_kgs,rating,team_name,league,season,goals_scored,goals_conceded,assists,saves,total_shots,shots_on_target,total_passes,key_passes,passing_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribbles_attempts,successful_dribbles,fouls_drawn,fouls_committed,yellow_card,red_card,yellowred_card,penalties_won,penalties_commited,penalties_scored,penalties_missed,penalties_saved,appearences,minutes_played,lineups,subbed_on,subbed_off,bench,performance
183,K. Mbappé,Attacker,22,France,France,178.0,73.0,7.73,Paris Saint Germain,Ligue 1,2019-2020,18,0,5,0,88,49,486,41,80,6,0,2,0,0,104,51,22,11,0,0,0,1,0,0,0,0,20,1515,17,3,5,3,
184,K. Mbappé,Attacker,22,France,France,178.0,73.0,7.871428,Paris Saint Germain,Ligue 1,2018-2019,33,0,7,0,122,68,591,48,78,4,0,4,232,112,115,64,39,19,5,1,0,3,0,1,0,0,29,2340,24,5,1,5,
185,K. Mbappé,Attacker,22,France,France,178.0,73.0,7.3,Paris Saint Germain,Ligue 1,2017-2018,13,0,0,0,3,2,19,0,70,0,0,1,9,6,6,4,1,0,2,0,0,0,0,0,0,0,27,2097,24,3,5,5,
252,J. Deminguet,Midfielder,22,France,France,178.0,74.0,7.047826,Caen,Ligue 2,2019-2020,6,0,2,0,22,11,527,14,76,31,6,13,0,0,32,23,40,30,4,0,0,1,0,0,0,0,25,1888,24,1,12,3,
633,J. Reine-Adélaïde,Midfielder,22,France,France,183.0,75.0,8.3,Lyon,Ligue 1,2019-2020,2,0,1,0,2,1,28,1,82,0,0,0,0,0,12,10,2,1,3,0,0,0,0,0,0,0,14,789,11,3,9,5,
681,Houssem Aouar,Midfielder,22,France,France,175.0,70.0,6.983333,Lyon,Ligue 1,2018-2019,7,0,7,0,67,21,1721,43,84,37,6,31,392,190,96,58,53,30,2,0,0,2,0,0,0,0,37,3068,35,2,9,3,
682,Houssem Aouar,Midfielder,22,France,France,175.0,70.0,7.1633330000000015,Lyon,Ligue 1,2017-2018,6,0,5,0,50,18,1328,39,84,13,0,39,397,217,114,82,46,20,1,0,0,0,0,0,0,0,32,2436,27,5,9,9,
871,J. Reine-Adélaïde,Midfielder,22,France,France,183.0,75.0,8.3,Lyon,Ligue 1,2019-2020,2,0,1,0,2,1,28,1,82,0,0,0,0,0,12,10,2,1,3,0,0,0,0,0,0,0,14,789,11,3,9,5,
994,S. Alakouch,Defender,22,France,France,175.0,66.0,6.98,Nimes,Ligue 2,2017-2018,0,0,3,0,16,6,800,24,81,16,0,49,292,176,37,23,50,26,2,0,0,1,0,0,0,0,30,2385,27,3,7,6,
1150,V. Osimhen,Attacker,22,Nigeria,Nigeria,185.0,78.0,7.0846149999999986,Lille,Ligue 1,2019-2020,13,0,4,0,84,35,207,20,61,4,0,10,0,0,32,12,37,52,4,0,0,3,0,2,1,0,27,2289,25,2,4,2,
1461,M. Chouiar,Attacker,21,France,France,180.0,77.0,7.152631,Dijon,Ligue 1,2019-2020,4,0,0,0,39,17,397,45,74,33,0,14,0,0,102,69,20,34,4,0,1,0,0,0,0,0,20,1514,18,2,9,2,
1567,A. Claude Maurice,Midfielder,22,France,France,174.0,62.0,6.9238089999999985,Nice,Ligue 1,2019-2020,1,0,1,0,34,8,465,20,87,24,4,8,0,0,82,55,42,12,2,0,0,0,0,0,0,0,22,1633,19,3,7,3,
1569,A. Claude Maurice,Midfielder,22,France,France,174.0,62.0,7.054285,Lorient,Ligue 2,2018-2019,14,0,4,0,72,33,809,39,80,29,0,34,501,247,133,84,103,31,4,0,0,1,0,0,0,0,35,3099,35,0,9,0,
1598,M. Sarr,Defender,21,France,France,180.0,70.0,7.0058820000000015,Nice,Ligue 1,2018-2019,1,0,1,0,9,1,1874,7,88,37,12,69,261,153,14,9,30,31,1,0,0,0,1,0,0,0,35,2995,34,1,2,3,
